Producto,Descripción,U. de S.,Precio público,precio de lista 4
ZOETIS-140,APOQUEL 5.4MG 10BLS X10TAB (100TAB),pz,4420.0,3536.0
ZOETIS-141,APOQUEL 16MG 10BLS X 10TAB (100TAB),pz,5399.0,4319.0
ZOETIS-143,RIMADYL MASTICABLE 75MG 60 TAB,pz,1834.0,1467.0
ZOETIS-144,ZYLEXIS 1 DS,pz,501.3,375.9
ZOETIS-150,SIMPARICA TRIO 3 TAB 12MG  5.1-10KG CARA,pz,1171.0,609.0
ZOETIS-151,SIMPARICA TRIO 3 TAB 24MG 10.1-20KG BLUE,pz,1214.0,631.0
ZOETIS-152,SIMPARICA TRIO 3 TAB 48MG 20.1-40KG GREE,pz,1296.0,674.0
ZOETIS-153,SIMPARICA TRIO 3 TAB 72MG 40-60KG BROWN,pz,1378.0,717.0
ZOETIS-158,REVOLUTION PLUS .25ML C/3 PIPETA 2.5KG,pz,1122.0,561.0
ZOETIS-162,SIMPARICA 10 MG 1 TABLETA 2.5-5 KG -1641,pz,306.0,153.0
ZOETIS-163,SIMPARICA 20MG 1 TABLETA 5-10 KG -1642,pz,321.0,161.0
ZOETIS-164,SIMPARICA 40MG 1 TABLETA 10-20 KG -1643,pz,342.0,171.0
ZOETIS-165,SIMPARICA 80MG 1 TABLETA 20-40 KG,pz,372.0,186.0
ZOETIS-167,CYTOPOINT 10MG 2 VIALES,pz,1442.0,1082.0
ZOETIS-174,SIMPARICA TRIO 3 TAB 6MG 2.5 A 5KG PURPL,pz,1121.0,
ZOETIS-175,SIMPARICA TRIO 1 TAB 12MG 5.1-10KG CARAM,pz,410.0,213.0
ZOETIS-176,EXCEDE 250ML,pz,5045.0,3441.0
ZOETIS-177,SIMPARICA TRIO 1 TAB 72MG 40.1-60KG BROW,pz,493.0,257.0
ZOETIS-178,SIMPARICA TRIO 1 TAB 6 MG 2.5-5KG PURPLE,pz,398.0,207.0
ZOETIS-179,SIMPARICA TRIO 1 TAB 24MG 10.1-20KG BLUE,pz,430.0,224.0
ZOETIS-183,SIMPARICA TRIO 1 TAB 48MG 20-40KG GREE,pz,462.0,240.0
ZOETIS-189,PALLADIA 50MG,pz,4562.0,3649.0
ZOETIS-190,LIBRELA SOL 5MG C/2 VIALES,pz,1440.0,1080.0
ZOETIS-191,LIBRELA SOL 10MG C/2 VIALES,pz,1654.0,1241.0
ZOETIS-193,LIBRELA SOL 20MG C/2 VIALES,pz,2179.0,1635.0
ZOETIS-194,LIBRELA SOL 30MG C/2 VIALES,pz,2316.0,1737.0
ZOETIS-195,LIBRELA SOL 15MG C/2 VIALES,pz,2082.0,1562.0
